asset,date,role,t_star,t_trough,t_rebound_end,h_star,drop,reb,reason,t_trough_ref,t_trough_final
BTCUSDT,2021-01-02 00:00:00+00:00,pos,2021-01-02 20:31:00+00:00,2021-01-02 21:00:00+00:00,2021-01-02 22:00:00+00:00,30,0.0637786142316773,0.826465259139399,,2021-01-02 21:00:20.951000+00:00,2021-01-02 21:00:20.951000+00:00
BTCUSDT,2021-01-04 00:00:00+00:00,pos,2021-01-04 09:49:00+00:00,2021-01-04 10:16:00+00:00,2021-01-04 11:16:00+00:00,30,0.0987016240993023,0.9639639932089612,,2021-01-04 10:16:38.590000+00:00,2021-01-04 10:16:38.590000+00:00
BTCUSDT,2021-01-07 00:00:00+00:00,pos,2021-01-07 18:26:00+00:00,2021-01-07 18:48:00+00:00,2021-01-07 19:48:00+00:00,30,0.075409359339746,0.9191079400590548,,2021-01-07 18:48:39.713000+00:00,2021-01-07 18:48:39.713000+00:00
BTCUSDT,2021-01-08 00:00:00+00:00,pos,2021-01-08 15:09:00+00:00,2021-01-08 15:34:00+00:00,2021-01-08 16:34:00+00:00,30,0.0505549588256355,0.6714636449480659,,2021-01-08 15:34:06.726000+00:00,2021-01-08 15:34:06.726000+00:00
BTCUSDT,2021-01-10 00:00:00+00:00,pos,2021-01-10 20:00:00+00:00,2021-01-10 20:28:00+00:00,2021-01-10 21:28:00+00:00,30,0.0700736051478844,1.200811865021769,,2021-01-10 20:28:27.075000+00:00,2021-01-10 20:28:27.075000+00:00
BTCUSDT,2021-01-11 00:00:00+00:00,pos,2021-01-11 13:48:00+00:00,2021-01-11 14:15:00+00:00,2021-01-11 15:15:00+00:00,30,0.0802180517294944,0.9784203679887392,,2021-01-11 14:15:01.075000+00:00,2021-01-11 14:15:01.075000+00:00
BTCUSDT,2021-01-15 00:00:00+00:00,pos,2021-01-15 15:35:00+00:00,2021-01-15 16:04:00+00:00,2021-01-15 17:04:00+00:00,30,0.0564986624400719,0.8941863387661203,,2021-01-15 16:04:47.081000+00:00,2021-01-15 16:04:47.081000+00:00
BTCUSDT,2021-01-17 00:00:00+00:00,quiet,2021-01-17 09:34:00+00:00,2021-01-17 10:02:00+00:00,2021-01-17 11:02:00+00:00,30,0.0269954856614778,1.3819304690411485,no minute meets per-horizon drop thresholds,2021-01-17 10:02:34.772000+00:00,2021-01-17 10:02:34.772000+00:00
BTCUSDT,2021-01-23 00:00:00+00:00,quiet,2021-01-23 11:07:00+00:00,2021-01-23 11:32:00+00:00,2021-01-23 12:32:00+00:00,30,0.0295855437032711,0.5100863953367323,no minute meets per-horizon drop thresholds,2021-01-23 11:32:55.881000+00:00,2021-01-23 11:32:55.881000+00:00
BTCUSDT,2021-01-25 00:00:00+00:00,quiet,2021-01-25 21:02:00+00:00,2021-01-25 21:31:00+00:00,2021-01-25 22:31:00+00:00,30,0.0317236448621995,0.4795890346101035,no minute meets per-horizon drop thresholds,2021-01-25 21:31:14.491000+00:00,2021-01-25 21:31:14.491000+00:00
BTCUSDT,2021-01-29 00:00:00+00:00,pos,2021-01-29 09:00:00+00:00,2021-01-29 09:06:00+00:00,2021-01-29 10:06:00+00:00,10,0.0655720832885368,1.3999044256682984,,2021-01-29 09:06:36.111000+00:00,2021-01-29 09:06:36.111000+00:00
BTCUSDT,2021-02-04 00:00:00+00:00,quiet,2021-02-04 08:30:00+00:00,2021-02-04 08:59:00+00:00,2021-02-04 09:59:00+00:00,30,0.0411558249362691,0.3707710996557091,no minute meets per-horizon drop thresholds,2021-02-04 08:59:35.060000+00:00,2021-02-04 08:59:35.060000+00:00
BTCUSDT,2021-02-12 00:00:00+00:00,quiet,2021-02-12 14:20:00+00:00,2021-02-12 14:48:00+00:00,2021-02-12 15:48:00+00:00,30,0.0317967396581723,0.6857914298351594,no minute meets per-horizon drop thresholds,2021-02-12 14:48:12.302000+00:00,2021-02-12 14:48:12.302000+00:00
BTCUSDT,2021-02-15 00:00:00+00:00,pos,2021-02-15 02:06:00+00:00,2021-02-15 02:22:00+00:00,2021-02-15 03:22:00+00:00,30,0.0547210956996882,0.6239935709845196,,2021-02-15 02:22:00.093000+00:00,2021-02-15 02:22:00.093000+00:00
BTCUSDT,2021-02-16 00:00:00+00:00,pos,2021-02-16 12:32:00+00:00,2021-02-16 12:39:00+00:00,2021-02-16 13:39:00+00:00,10,0.0409157218038615,0.7637295983219511,,2021-02-16 12:39:50.920000+00:00,2021-02-16 12:39:50.920000+00:00
BTCUSDT,2021-02-20 00:00:00+00:00,quiet,2021-02-20 22:13:00+00:00,2021-02-20 22:42:00+00:00,2021-02-20 23:42:00+00:00,30,0.0418165164477645,1.0363168417918078,no minute meets per-horizon drop thresholds,2021-02-20 22:42:07.776000+00:00,2021-02-20 22:42:07.776000+00:00
BTCUSDT,2021-02-22 00:00:00+00:00,pos,2021-02-22 13:49:00+00:00,2021-02-22 14:17:00+00:00,2021-02-22 15:17:00+00:00,30,0.1011769519891617,1.1884819293290696,,2021-02-22 14:17:10.443000+00:00,2021-02-22 14:17:10.443000+00:00
BTCUSDT,2021-02-23 00:00:00+00:00,pos,2021-02-23 08:46:00+00:00,2021-02-23 09:12:00+00:00,2021-02-23 10:12:00+00:00,30,0.0705532686576104,1.1648965133639733,,2021-02-23 09:12:00.199000+00:00,2021-02-23 09:12:00.199000+00:00
BTCUSDT,2021-03-08 00:00:00+00:00,quiet,2021-03-08 07:03:00+00:00,2021-03-08 07:22:00+00:00,2021-03-08 08:22:00+00:00,30,0.0177152117553949,0.500582241630273,no minute meets per-horizon drop thresholds,2021-03-08 07:22:23.804000+00:00,2021-03-08 07:22:23.804000+00:00
BTCUSDT,2021-03-15 00:00:00+00:00,near_miss,2021-03-15 09:18:00+00:00,2021-03-15 09:41:00+00:00,2021-03-15 10:41:00+00:00,30,0.0542161088476004,0.5824485844550449,fails recovery: reb≈58% < 60%,2021-03-15 09:41:44.950000+00:00,2021-03-15 09:41:44.950000+00:00
BTCUSDT,2021-03-22 00:00:00+00:00,quiet,2021-03-22 20:17:00+00:00,2021-03-22 20:46:00+00:00,2021-03-22 21:46:00+00:00,30,0.0321780321164045,0.4309719824355921,no minute meets per-horizon drop thresholds,2021-03-22 20:46:36.055000+00:00,2021-03-22 20:46:36.055000+00:00
BTCUSDT,2021-03-23 00:00:00+00:00,quiet,2021-03-23 04:59:00+00:00,2021-03-23 05:26:00+00:00,2021-03-23 06:26:00+00:00,30,0.0241673928665374,0.4539235657170634,no minute meets per-horizon drop thresholds,2021-03-23 05:26:28.478000+00:00,2021-03-23 05:26:28.478000+00:00
BTCUSDT,2021-04-01 00:00:00+00:00,quiet,2021-04-01 08:26:00+00:00,2021-04-01 08:52:00+00:00,2021-04-01 09:52:00+00:00,30,0.0146994247758576,0.7925145931097637,no minute meets per-horizon drop thresholds,2021-04-01 08:52:50.451000+00:00,2021-04-01 08:52:50.451000+00:00
BTCUSDT,2021-04-03 00:00:00+00:00,quiet,2021-04-03 21:38:00+00:00,2021-04-03 22:04:00+00:00,2021-04-03 23:04:00+00:00,30,0.0170683032552949,0.5302388735227582,no minute meets per-horizon drop thresholds,2021-04-03 22:04:31.060000+00:00,2021-04-03 22:04:31.060000+00:00
BTCUSDT,2021-04-10 00:00:00+00:00,quiet,2021-04-10 20:29:00+00:00,2021-04-10 20:56:00+00:00,2021-04-10 21:56:00+00:00,30,0.0192699825391088,0.7687579556749056,no minute meets per-horizon drop thresholds,2021-04-10 20:56:50.407000+00:00,2021-04-10 20:56:50.407000+00:00
BTCUSDT,2021-04-18 00:00:00+00:00,pos,2021-04-18 03:06:00+00:00,2021-04-18 03:35:00+00:00,2021-04-18 04:35:00+00:00,30,0.13045786806277,0.6677729429085549,,2021-04-18 03:35:47.417000+00:00,2021-04-18 03:35:47.417000+00:00
BTCUSDT,2021-04-23 00:00:00+00:00,pos,2021-04-23 02:01:00+00:00,2021-04-23 02:28:00+00:00,2021-04-23 03:28:00+00:00,30,0.0531259616460924,0.6404051008347207,,2021-04-23 02:28:18.553000+00:00,2021-04-23 02:28:18.553000+00:00
BTCUSDT,2021-05-04 00:00:00+00:00,quiet,2021-05-04 00:39:00+00:00,2021-05-04 00:57:00+00:00,2021-05-04 01:57:00+00:00,30,0.0377500628953216,0.59156652951808,no minute meets per-horizon drop thresholds,2021-05-04 00:57:03.266000+00:00,2021-05-04 00:57:03.266000+00:00
BTCUSDT,2021-05-10 00:00:00+00:00,pos,2021-05-10 19:36:00+00:00,2021-05-10 20:06:00+00:00,2021-05-10 21:06:00+00:00,30,0.0532704374580718,0.7190587493931515,,2021-05-10 20:05:39.092000+00:00,2021-05-10 20:05:39.092000+00:00
BTCUSDT,2021-05-12 00:00:00+00:00,near_miss,2021-05-12 23:31:00+00:00,2021-05-12 23:59:00+00:00,2021-05-12 23:59:00+00:00,30,0.0653452520404224,0.3767132358784043,fails recovery: reb≈38% < 60%,2021-05-12 23:59:05.874000+00:00,2021-05-12 23:59:05.874000+00:00
BTCUSDT,2021-05-13 00:00:00+00:00,pos,2021-05-13 00:00:00+00:00,2021-05-13 00:03:00+00:00,2021-05-13 01:03:00+00:00,5,0.0680969892239598,1.377418663874146,,2021-05-13 00:03:18.619000+00:00,2021-05-13 00:03:18.619000+00:00
BTCUSDT,2021-05-19 00:00:00+00:00,pos,2021-05-19 12:40:00+00:00,2021-05-19 13:10:00+00:00,2021-05-19 14:10:00+00:00,30,0.2037037037037037,1.0256410256410255,,2021-05-19 13:09:59.859000+00:00,2021-05-19 13:09:59.859000+00:00
BTCUSDT,2021-05-20 00:00:00+00:00,pos,2021-05-20 00:24:00+00:00,2021-05-20 00:53:00+00:00,2021-05-20 01:53:00+00:00,30,0.069486278994447,1.0182790699461657,,2021-05-20 00:53:52.534000+00:00,2021-05-20 00:53:52.534000+00:00
BTCUSDT,2021-05-23 00:00:00+00:00,near_miss,2021-05-23 12:19:00+00:00,2021-05-23 12:44:00+00:00,2021-05-23 13:44:00+00:00,30,0.0641106450146601,0.510683395738904,fails recovery: reb≈51% < 60%,2021-05-23 12:44:59.482000+00:00,2021-05-23 12:44:59.482000+00:00
BTCUSDT,2021-05-27 00:00:00+00:00,quiet,2021-05-27 01:37:00+00:00,2021-05-27 02:00:00+00:00,2021-05-27 03:00:00+00:00,30,0.021255971317319,0.6080352647929178,no minute meets per-horizon drop thresholds,2021-05-27 02:00:58.366000+00:00,2021-05-27 02:00:58.366000+00:00
BTCUSDT,2021-05-31 00:00:00+00:00,quiet,2021-05-31 00:09:00+00:00,2021-05-31 00:32:00+00:00,2021-05-31 01:32:00+00:00,30,0.0215079230060166,0.3029778214341078,no minute meets per-horizon drop thresholds,2021-05-31 00:32:53.407000+00:00,2021-05-31 00:32:53.407000+00:00
BTCUSDT,2021-06-11 00:00:00+00:00,quiet,2021-06-11 00:12:00+00:00,2021-06-11 00:39:00+00:00,2021-06-11 01:39:00+00:00,30,0.0207287505154882,0.3443859011627951,no minute meets per-horizon drop thresholds,2021-06-11 00:39:13.591000+00:00,2021-06-11 00:39:13.591000+00:00
BTCUSDT,2021-06-12 00:00:00+00:00,quiet,2021-06-12 01:06:00+00:00,2021-06-12 01:35:00+00:00,2021-06-12 02:35:00+00:00,30,0.0232418062120562,0.2186743008147962,no minute meets per-horizon drop thresholds,2021-06-12 01:35:56.211000+00:00,2021-06-12 01:35:56.211000+00:00
BTCUSDT,2021-06-21 00:00:00+00:00,near_miss,2021-06-21 06:17:00+00:00,2021-06-21 06:45:00+00:00,2021-06-21 07:45:00+00:00,30,0.0651045477132495,0.4247535548187555,fails recovery: reb≈42% < 60%,2021-06-21 06:45:14.281000+00:00,2021-06-21 06:45:14.281000+00:00
